No. of Cluster: 15
Cluster id:0
F (22.4964769, 88.3707092) 2017-04-18 04:30:00.0
D (22.4964772, 88.3707095) 2017-04-18 04:30:00.0
E (22.4964658, 88.3707058) 2017-04-18 04:30:00.0
F (22.4964099, 88.3707349) 2017-04-18 04:30:00.0
D (22.4963443, 88.3707442) 2017-04-18 04:30:00.0
Cluster id:10
E (22.4959104, 88.3708087) 2017-04-18 04:30:00.0
D (22.4959934, 88.3707922) 2017-04-18 04:30:00.0
F (22.4958695, 88.3708159) 2017-04-18 04:30:00.0
D (22.4958407, 88.3708261) 2017-04-18 04:30:00.0
E (22.4957797, 88.3708677) 2017-04-18 04:30:00.0
Cluster id:11
E (22.4955148, 88.3709561) 2017-04-18 04:30:00.0
D (22.4955871, 88.3709315) 2017-04-18 04:30:00.0
F (22.4954447, 88.3709794) 2017-04-18 04:30:00.0
Cluster id:12
E (22.4949179, 88.3712447) 2017-04-18 04:30:00.0
D (22.4949674, 88.371198) 2017-04-18 04:30:00.0
F (22.4948775, 88.3712474) 2017-04-18 04:30:00.0
Cluster id:13
D (22.4931281, 88.3794411) 2017-04-18 04:33:00.0
F (22.4931352, 88.3793451) 2017-04-18 04:33:00.0
E (22.4931238, 88.3795305) 2017-04-18 04:33:00.0
Cluster id:14
D (22.492536, 88.3823168) 2017-04-18 04:34:00.0
F (22.4925492, 88.3822833) 2017-04-18 04:34:00.0
E (22.4924832, 88.3823675) 2017-04-18 04:34:00.0
